path,seed,J,ratios,theta_candidate,theta_baseline,sample_count,active_count,improve_count,degrade_count,fallback,safe,path_id
path_modern_tcn_showcase_candidate_soft_updown_straight_turn_v1,11,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",0.0376543043464305,0.0376254577659089,5600,0,0,0,0,True,P4
path_factory_target_downhill_straight_after_turn_v1,11,0.8770200228425395,"[0.8688425594161833, 0.6947043651481164, 0.7770619862464292, 1.0494037712716502, 0.9950874321303189]",0.3857409145272333,0.4734392737498543,3800,2490,1745,0,0,True,P6
path_closed_loop_sharp_turn_transition_theta10_v1,11,0.9139193321935212,"[0.6528593946721605, 0.927398013277377, 0.9643079541154872, 0.9814566401204073, 1.0435746587821735]",0.3475508009522817,0.4423992471407212,5200,3021,1946,5,0,True,P2
path_factory_logistics_showcase_theta10_v10,11,0.8673683071109547,"[1.1072641038264017, 0.9352461430624246, 0.8894695874551984, 0.6460169113117407, 0.7588447898990084]",0.4929567318562929,0.5301472184011711,24582,9118,4854,9,0,True,P1
path_modern_tcn_showcase_candidate_factory_flat_logistics_safe_190_v1,11,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",2.780907098335727e-05,0.0,19000,0,0,0,0,True,P5
path_modern_tcn_showcase_candidate_balanced_mild_updown_lr_v1,11,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",0.0545287366957172,0.0545019082561926,5800,0,0,0,0,True,P7
path_factory_target_uphill_left_overlap_v1,11,0.885959709432373,"[0.8527171123913685, 0.8848677311385846, 0.8567125017651811, 0.8484718753494879, 0.9870293265172434]",0.4930963134353449,0.642028148134405,4400,3474,3058,5,0,True,P8
path_factory_target_downhill_right_reversal_v1,11,0.8869797122810672,"[0.7606380125507904, 0.9506868596769916, 0.8329214931605599, 0.9007227211318188, 0.9899294748851752]",0.5300053033313908,0.6153324922860027,4200,2695,2068,3,0,True,P9
path_closed_loop_long_updown_theta10_v1,21,1.1557474364745033,"[1.6104043708876, 0.9829688949670501, 1.1249311251461396, 1.050745153551902, 1.009687637819825]",0.7724523528432178,0.9367276580930288,4400,3123,2640,14,0,True,P3
path_modern_tcn_showcase_candidate_soft_updown_straight_turn_v1,21,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",0.0376544633805771,0.0376254577659089,5600,0,0,0,0,True,P4
path_factory_target_downhill_straight_after_turn_v1,21,1.0259071173083671,"[1.0054612897308595, 1.0564022224438072, 1.0545865450708025, 1.0142989806288745, 0.9987865486674915]",0.2461800362649855,0.2778863968772791,3800,1436,674,21,0,True,P6
path_closed_loop_sharp_turn_transition_theta10_v1,21,0.8285915056432319,"[0.9099318900340218, 0.9548537874037819, 0.9013528685709834, 0.4666715821753419, 0.9101474000320309]",0.502076902310285,0.6478593697248923,5200,3347,2586,6,0,True,P2
path_factory_logistics_showcase_theta10_v10,21,1.0935925468979666,"[1.3056725327285617, 1.0649316699362306, 1.2507737962207057, 0.8466865455359299, 0.9998981900684053]",0.3366060979010453,0.4018347272936046,24582,9495,5666,33,0,True,P1
path_modern_tcn_showcase_candidate_factory_flat_logistics_safe_190_v1,21,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",2.760408776645222e-05,0.0,19000,0,0,0,0,True,P5
path_modern_tcn_showcase_candidate_balanced_mild_updown_lr_v1,21,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",0.0545289265468793,0.0545019082561926,5800,0,0,0,0,True,P7
path_factory_target_uphill_left_overlap_v1,21,1.002554061895655,"[1.0071627908661152, 0.9766323072187623, 1.0211257208875693, 1.009024494113844, 0.9988249963919839]",0.4511004184690483,0.5816208909608859,4400,3201,2630,0,0,True,P8
path_factory_target_downhill_right_reversal_v1,21,0.941890631431191,"[0.8107484422351608, 0.9656085651223286, 0.9541378305974091, 0.9713196535481741, 1.0076386656528824]",0.4976940383729294,0.5976649951505242,4200,2119,1494,17,0,True,P9
path_closed_loop_long_updown_theta10_v1,42,0.9918842984082972,"[1.0293434506683556, 0.9614545380176229, 0.9104949123033205, 1.0322910812500368, 1.0258375098021508]",0.6522695058947398,0.7495678428270739,4400,3112,2599,39,0,True,P3
path_modern_tcn_showcase_candidate_soft_updown_straight_turn_v1,42,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",0.0376546999341087,0.0376254577659089,5600,0,0,0,0,True,P4
path_factory_target_downhill_straight_after_turn_v1,42,0.9233038900004664,"[0.9037134183019708, 0.8551595134850392, 0.8192378100540354, 1.0362324923953246, 1.0021762157659622]",0.3452126597047683,0.4065177831098678,3800,1857,868,11,0,True,P6
path_closed_loop_sharp_turn_transition_theta10_v1,42,0.953048228409632,"[0.9208936526531574, 0.90131567063323, 0.9204792672739202, 1.0220647050035707, 1.0004878464842826]",0.5075350568332396,0.6453900803690867,5200,3239,2509,10,0,True,P2
path_factory_logistics_showcase_theta10_v10,42,1.3526008090196011,"[1.02897127498857, 1.7643223504217416, 1.9840836672936346, 0.9188034288256154, 1.0668233235684446]",0.345758889096053,0.4321684434054723,24582,11392,5356,87,0,True,P1
path_modern_tcn_showcase_candidate_factory_flat_logistics_safe_190_v1,42,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",2.798709307176774e-05,0.0,19000,0,0,0,0,True,P5
path_modern_tcn_showcase_candidate_balanced_mild_updown_lr_v1,42,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",0.054528844585547,0.0545019082561926,5800,0,0,0,0,True,P7
path_factory_target_uphill_left_overlap_v1,42,0.952643981785506,"[0.8862049807820546, 0.9350448187182271, 0.8989710119390866, 1.0442824517848588, 0.9987166457033029]",0.4139110631062047,0.517895934172108,4400,2571,1837,6,0,True,P8
path_factory_target_downhill_right_reversal_v1,42,0.8432625378284729,"[0.7112315867261723, 0.976566930357587, 0.6853440693906349, 0.8566113764351124, 0.9865587262328587]",0.5197667502823413,0.5856187652456227,4200,2471,1630,8,0,True,P9
path_closed_loop_long_updown_theta10_v1,73,1.1821711498819192,"[1.7577153480124976, 0.923190797732821, 1.1638369023874136, 1.0577487226161935, 1.0083639786606704]",0.5269863048266202,0.6155958490340145,4400,2640,2002,30,0,True,P3
path_modern_tcn_showcase_candidate_soft_updown_straight_turn_v1,73,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",0.0376518312736677,0.0376254577659089,5600,0,0,0,0,True,P4
path_factory_target_downhill_straight_after_turn_v1,73,0.8493243619598202,"[0.8171418990564653, 0.6860991603641076, 0.7476257695885099, 0.9958129871122112, 0.9999419936778066]",0.5433093441026979,0.6911933142391478,3800,2766,2301,37,0,True,P6
path_closed_loop_sharp_turn_transition_theta10_v1,73,0.8510405092265906,"[0.5779621839068088, 0.9711353738324567, 0.870786764400377, 0.9504297299440164, 0.8848884940492935]",0.3570795267732805,0.4970373639635512,5200,2972,2132,7,0,True,P2
path_factory_logistics_showcase_theta10_v10,73,1.1448879187560923,"[1.0302084476767888, 1.2410878693797602, 1.4494968910801402, 0.9747695032914905, 1.0288768823522831]",0.336691651238834,0.3927172835539075,24582,9755,5363,30,0,True,P1
path_modern_tcn_showcase_candidate_factory_flat_logistics_safe_190_v1,73,1.1895404547792086,"[1.2429163941114998, 0.9611937009496065, 1.2753823732579221, 1.443826548455146, 1.0243832571218692]",0.0440738294030719,0.0216129282232372,19000,448,421,24,0,True,P5
path_modern_tcn_showcase_candidate_balanced_mild_updown_lr_v1,73,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",0.0545283905556808,0.0545019082561926,5800,0,0,0,0,True,P7
path_factory_target_uphill_left_overlap_v1,73,0.8843962428535159,"[0.9066709942298966, 0.9288703153829764, 0.9072676229461137, 0.707897586088293, 0.9712746956202999]",0.4551882520096994,0.5109312688164097,4400,3254,1893,6,0,True,P8
path_factory_target_downhill_right_reversal_v1,73,0.8093856547294715,"[0.7716361681734916, 0.9118605067020761, 0.6832976551496648, 0.7188705607958223, 0.961263382826303]",0.6430362196066726,0.7981283705144238,4200,2728,2187,2,0,True,P9
path_closed_loop_long_updown_theta10_v1,101,1.0119710981797412,"[1.2070981275609236, 1.1623476748654986, 0.9275710270175729, 0.9271053694473778, 0.8357332920073326]",0.6232958813711265,0.847897683013715,4400,2754,2034,34,0,True,P3
path_modern_tcn_showcase_candidate_soft_updown_straight_turn_v1,101,0.9741000103112644,"[0.9482414653161813, 0.9889947950698651, 0.9942203054419031, 0.937299940872571, 1.001743544855802]",0.2058928257508803,0.2479298912336623,5600,510,501,8,0,True,P4
path_factory_target_downhill_straight_after_turn_v1,101,0.8979880086501876,"[0.8817995097674004, 0.7288945471748937, 0.7923235730381565, 1.0820963822429162, 1.004826031027571]",0.4498618369173348,0.5361555708272848,3800,2565,1804,0,0,True,P6
path_closed_loop_sharp_turn_transition_theta10_v1,101,0.9682536433782064,"[0.9347960011928098, 0.9377978054483934, 0.9393459976634585, 1.0300230798503849, 0.9993053327359862]",0.4632874223074247,0.5761487579821154,5200,3102,2322,4,0,True,P2
path_factory_logistics_showcase_theta10_v10,101,0.6893424096477758,"[0.6003022182810845, 0.6324958094349798, 0.6708862601390225, 0.7138955683535191, 0.8291321920302729]",0.5226884787483262,0.6431337639216714,24582,15407,12233,62,0,True,P1
path_modern_tcn_showcase_candidate_factory_flat_logistics_safe_190_v1,101,0.5872813135762283,"[0.6349382925526215, 0.8336487752842809, 0.7053771966101778, 0.09704375057248046, 0.6653985528615811]",0.3243096161782062,0.4033314217681678,19000,3054,3000,48,0,True,P5
path_modern_tcn_showcase_candidate_balanced_mild_updown_lr_v1,101,0.9725473262596672,"[0.9478172210661729, 0.9802432304436286, 0.9815720645188981, 0.95857679587313, 0.9945273193965067]",0.2061354559252921,0.242442462475425,5800,450,441,8,0,True,P7
path_factory_target_uphill_left_overlap_v1,101,0.9861981473173816,"[0.9729676109846415, 0.9781125553614456, 0.9746969330373917, 1.0048394900844815, 1.000374147118947]",0.2882901280908169,0.3232710390758324,4400,1379,471,22,0,True,P8
path_factory_target_downhill_right_reversal_v1,101,0.7823573441389542,"[0.6757684729678952, 0.965304895725805, 0.6672355463811102, 0.626303459262901, 0.9771743463570592]",0.5801476315571786,0.7047004336835803,4200,2312,1531,27,0,True,P9
path_closed_loop_long_updown_theta10_v1,202,0.90468122143982,"[0.7362210311651268, 0.9958680650842435, 0.8100802085834213, 0.9748637757434457, 1.0063730266228634]",0.6799649940624326,0.8133480836417915,4400,2790,2239,20,0,True,P3
path_modern_tcn_showcase_candidate_soft_updown_straight_turn_v1,202,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",0.0376512874160359,0.0376254577659089,5600,0,0,0,0,True,P4
path_factory_target_downhill_straight_after_turn_v1,202,0.8780494501270484,"[0.8121430204317214, 0.7287230255776571, 0.7644510247492944, 1.0852046397943078, 0.9997255400822613]",0.7851003378794715,0.9932502286931892,3800,2941,2648,2,0,True,P6
path_closed_loop_sharp_turn_transition_theta10_v1,202,0.8902736963468165,"[0.8064900879369171, 0.8848815675656373, 0.9055820167213443, 0.9022009697920641, 0.9522138397181198]",0.6549264363712691,0.7857056978802048,5200,3199,2804,7,0,True,P2
path_factory_logistics_showcase_theta10_v10,202,0.8779856757917814,"[0.7740898929589746, 1.0156906006181476, 0.939363682958006, 0.7702841936518651, 0.8905000087719138]",0.3644051091630545,0.4294548817172821,24582,10000,5408,35,0,True,P1
path_modern_tcn_showcase_candidate_factory_flat_logistics_safe_190_v1,202,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",2.7007420035746457e-05,0.0,19000,0,0,0,0,True,P5
path_modern_tcn_showcase_candidate_balanced_mild_updown_lr_v1,202,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",0.0545277404942034,0.0545019082561926,5800,0,0,0,0,True,P7
path_factory_target_uphill_left_overlap_v1,202,1.0436034762893915,"[1.0348059030558765, 0.9995423198019466, 1.0595342643363925, 1.1027661567847273, 1.0213687374680156]",0.4567967375550865,0.5679521307349028,4400,2700,1759,3,0,True,P8
path_factory_target_downhill_right_reversal_v1,202,0.7716216791644216,"[0.7140109840916029, 0.8855602892708444, 0.7340504130334657, 0.5774315382810038, 0.9470551711451909]",0.8581277443320512,1.001183310349911,4200,2852,2282,6,0,True,P9
path_closed_loop_long_updown_theta10_v1,340,1.0023218968067735,"[0.9793676362617547, 0.989450367740821, 1.0124833952591878, 1.022060148605595, 1.0082479361665106]",0.6759615476410499,0.8339294133793546,4400,2804,2195,25,0,True,P3
path_modern_tcn_showcase_candidate_soft_updown_straight_turn_v1,340,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",0.0376520876796688,0.0376254577659089,5600,0,0,0,0,True,P4
path_factory_target_downhill_straight_after_turn_v1,340,0.9271351551346732,"[0.9111871237373305, 0.8285429273452292, 0.8521842002134593, 1.0460920196814858, 0.9976695046958614]",0.3170827143426078,0.3420767167395221,3800,1496,469,1,0,True,P6
path_closed_loop_sharp_turn_transition_theta10_v1,340,1.2212533990343144,"[1.967277385079852, 0.8898033053541733, 0.9493204535962226, 1.2236826165234285, 1.0761832346178952]",0.4206877400243687,0.4896283656664431,5200,2703,1900,6,0,True,P2
path_factory_logistics_showcase_theta10_v10,340,1.0614597997847637,"[1.0031869636876998, 1.0958156591334414, 1.2195462645900152, 0.9611476291247136, 1.027602482387949]",0.3677732144561688,0.4067476214965767,24582,9703,4550,6,0,True,P1
path_modern_tcn_showcase_candidate_factory_flat_logistics_safe_190_v1,340,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",2.862281839816308e-05,0.0,19000,0,0,0,0,True,P5
path_modern_tcn_showcase_candidate_balanced_mild_updown_lr_v1,340,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",0.0545286895100597,0.0545019082561926,5800,0,0,0,0,True,P7
path_factory_target_uphill_left_overlap_v1,340,1.016385708948043,"[1.017547132084265, 0.9932910792834363, 1.0066548340947141, 1.067156102784545, 0.9972793964932546]",0.3714250171649421,0.433131161145223,4400,2518,1507,5,0,True,P8
path_factory_target_downhill_right_reversal_v1,340,0.8822230254875946,"[0.760883838933788, 0.9852762494540453, 0.6863273346192237, 0.9868255878143662, 0.9918021166165497]",0.5107991846566843,0.5772409017363364,4200,2253,1355,11,0,True,P9
path_closed_loop_long_updown_theta10_v1,520,0.9645236530685188,"[0.9264426627256405, 0.9542538047617811, 0.9326999181337879, 1.0355313976107108, 0.973690482110673]",0.7419627564900837,0.9292624161920264,4400,3110,2689,50,0,True,P3
path_modern_tcn_showcase_candidate_soft_updown_straight_turn_v1,520,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",0.0376526506849082,0.0376254577659089,5600,0,0,0,0,True,P4
path_factory_target_downhill_straight_after_turn_v1,520,0.8558214183708148,"[0.8126379132699639, 0.7112169848187871, 0.7576524617774122, 0.9928152137983655, 1.0047845181895463]",0.6175347282935499,0.7998091377681111,3800,2884,2510,1,0,True,P6
path_closed_loop_sharp_turn_transition_theta10_v1,520,0.8937355103547384,"[0.7696905278810505, 0.8912992668924962, 0.928440285889697, 0.8563005993335135, 1.0229468717769346]",0.559346222578973,0.6687947985734611,5200,3540,3158,3,0,True,P2
path_factory_logistics_showcase_theta10_v10,520,0.7401130033794169,"[0.6345125753620208, 0.8085173176325212, 0.7782741294518701, 0.7292811178835096, 0.7499798765671627]",0.4775262174991287,0.5637237419093175,24582,13044,11006,0,0,True,P1
path_modern_tcn_showcase_candidate_factory_flat_logistics_safe_190_v1,520,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",2.6992431939046645e-05,0.0,19000,0,0,0,0,True,P5
path_modern_tcn_showcase_candidate_balanced_mild_updown_lr_v1,520,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",0.054529187777377,0.0545019082561926,5800,0,0,0,0,True,P7
path_factory_target_uphill_left_overlap_v1,520,0.8660877549105773,"[0.8406400381011426, 0.87798134395682, 0.8533417146749411, 0.7738194196170861, 0.9846562582028973]",0.4898661260688022,0.6047770803863657,4400,3302,2687,0,0,True,P8
path_factory_target_downhill_right_reversal_v1,520,0.8743424829624628,"[0.8111712174987316, 0.9441875995894989, 0.7296709038255231, 0.907383850736256, 0.9792988431623045]",0.7387870792187454,0.913741746127719,4200,2791,2325,10,0,True,P9
